CustomerID,CustomerName,CustomerSegment,SignupDate,Country
1,Customer 1,Retail,2023-11-29,Spain
2,Customer 2,Partner,2017-05-13,France
3,Customer 3,Online,2022-02-08,Spain
4,Customer 4,Wholesale,2023-07-06,Sweden
5,Customer 5,Retail,2023-05-14,UK
6,Customer 6,Retail,2017-11-03,Spain
7,Customer 7,Retail,2022-05-06,France
8,Customer 8,Online,2016-08-17,Germany
9,Customer 9,Wholesale,2018-03-28,Spain
10,Customer 10,Online,2019-02-26,France
11,Customer 11,Retail,2018-09-14,UK
12,Customer 12,Partner,2016-09-05,Italy
13,Customer 13,Online,2020-02-16,Sweden
14,Customer 14,Retail,2023-08-21,Spain
15,Customer 15,Retail,2024-12-06,UK
16,Customer 16,Retail,2019-05-23,UK
17,Customer 17,Retail,2019-05-03,USA
18,Customer 18,Wholesale,2019-05-12,Italy
19,Customer 19,Retail,2023-06-21,Spain
20,Customer 20,Retail,2018-03-01,France
21,Customer 21,Wholesale,2016-04-09,Spain
22,Customer 22,Retail,2019-01-19,Spain
23,Customer 23,Retail,2024-03-27,Italy
24,Customer 24,Retail,2023-03-22,Netherlands
25,Customer 25,Retail,2023-02-25,UK
26,Customer 26,Online,2018-07-14,UK
27,Customer 27,Retail,2022-10-17,UK
28,Customer 28,Wholesale,2021-09-08,UK
29,Customer 29,Wholesale,2023-09-27,Italy
30,Customer 30,Retail,2021-04-12,France
31,Customer 31,Wholesale,2016-07-21,Germany
32,Customer 32,Retail,2015-02-07,USA
33,Customer 33,Retail,2015-09-02,Netherlands
34,Customer 34,Online,2015-01-21,Netherlands
35,Customer 35,Partner,2018-02-07,Sweden
36,Customer 36,Online,2019-06-18,UK
37,Customer 37,Retail,2016-01-29,Sweden
38,Customer 38,Retail,2018-12-04,UK
39,Customer 39,Wholesale,2017-09-13,USA
40,Customer 40,Retail,2019-07-30,UK
41,Customer 41,Retail,2020-08-17,Germany
42,Customer 42,Retail,2024-08-16,Netherlands
43,Customer 43,Retail,2021-07-03,Spain
44,Customer 44,Online,2020-03-25,USA
45,Customer 45,Retail,2015-10-17,Netherlands
46,Customer 46,Wholesale,2019-11-22,France
47,Customer 47,Retail,2022-01-02,Netherlands
48,Customer 48,Wholesale,2017-06-30,USA
49,Customer 49,Wholesale,2015-12-27,Germany
50,Customer 50,Retail,2019-06-11,Italy
51,Customer 51,Partner,2022-07-26,France
52,Customer 52,Online,2015-08-07,Spain
53,Customer 53,Online,2021-09-19,UK
54,Customer 54,Online,2020-07-08,USA
55,Customer 55,Wholesale,2020-08-02,France
56,Customer 56,Online,2020-08-06,USA
57,Customer 57,Retail,2022-09-01,Spain
58,Customer 58,Retail,2023-02-18,USA
59,Customer 59,Retail,2017-04-11,Sweden
60,Customer 60,Retail,2019-11-29,Netherlands
61,Customer 61,Retail,2019-11-27,Netherlands
62,Customer 62,Retail,2022-10-12,France
63,Customer 63,Online,2018-05-28,Germany
64,Customer 64,Retail,2016-08-17,Italy
65,Customer 65,Retail,2020-11-24,France
66,Customer 66,Wholesale,2016-08-03,USA
67,Customer 67,Retail,2022-04-10,Spain
68,Customer 68,Online,2019-10-14,Netherlands
69,Customer 69,Retail,2024-03-11,UK
70,Customer 70,Partner,2020-08-17,UK
71,Customer 71,Online,2022-10-24,Spain
72,Customer 72,Retail,2021-02-14,USA
73,Customer 73,Retail,2015-03-22,Italy
74,Customer 74,Online,2020-11-25,Sweden
75,Customer 75,Online,2018-09-06,Spain
76,Customer 76,Online,2019-05-22,USA
77,Customer 77,Online,2022-06-26,France
78,Customer 78,Retail,2015-12-12,Italy
79,Customer 79,Retail,2020-03-01,Sweden
80,Customer 80,Retail,2021-07-03,Sweden
81,Customer 81,Online,2016-07-08,Germany
82,Customer 82,Wholesale,2015-10-29,USA
83,Customer 83,Retail,2015-07-19,Sweden
84,Customer 84,Retail,2023-01-19,UK
85,Customer 85,Retail,2024-07-22,UK
86,Customer 86,Retail,2017-11-28,Netherlands
87,Customer 87,Online,2015-11-03,Italy
88,Customer 88,Wholesale,2023-06-03,Sweden
89,Customer 89,Online,2019-07-15,Germany
90,Customer 90,Retail,2020-02-15,USA
91,Customer 91,Retail,2023-08-15,Germany
92,Customer 92,Online,2021-11-20,Netherlands
93,Customer 93,Online,2021-02-04,France
94,Customer 94,Wholesale,2022-05-16,Germany
95,Customer 95,Online,2020-01-21,France
96,Customer 96,Retail,2019-10-31,UK
97,Customer 97,Wholesale,2015-10-03,France
98,Customer 98,Retail,2018-03-21,USA
99,Customer 99,Retail,2023-11-10,Italy
100,Customer 100,Retail,2024-03-15,Italy
101,Customer 101,Retail,2018-11-02,USA
102,Customer 102,Wholesale,2022-04-22,USA
103,Customer 103,Retail,2016-09-29,USA
104,Customer 104,Wholesale,2019-11-11,Spain
105,Customer 105,Online,2024-04-04,Sweden
106,Customer 106,Retail,2017-07-18,Netherlands
107,Customer 107,Retail,2024-06-22,France
108,Customer 108,Online,2020-02-24,Sweden
109,Customer 109,Retail,2015-07-02,USA
110,Customer 110,Retail,2020-01-19,Italy
111,Customer 111,Retail,2024-03-31,Germany
112,Customer 112,Retail,2015-03-13,Germany
113,Customer 113,Online,2024-01-04,Spain
114,Customer 114,Online,2022-07-29,Sweden
115,Customer 115,Wholesale,2023-11-19,Sweden
116,Customer 116,Online,2019-08-04,Sweden
117,Customer 117,Online,2018-07-19,France
118,Customer 118,Retail,2022-08-05,France
119,Customer 119,Online,2024-09-09,Netherlands
120,Customer 120,Wholesale,2021-05-05,France
121,Customer 121,Online,2017-11-09,Italy
122,Customer 122,Online,2022-03-10,Italy
123,Customer 123,Retail,2023-05-01,Sweden
124,Customer 124,Retail,2017-03-25,Netherlands
